id,time_of_infected,time_of_removed,position_x,position_y
0,1,4,23.15,28.94
1,1,4,9.05,55.37
2,1,4,13.14,70.25
3,1,4,53.32,99.93
4,1,4,8.26,3.2
5,1,4,27.28,61.8
6,1,4,27.3,49.43
7,1,4,80.09,68.1
8,1,4,66.61,63.78
9,1,4,14.03,48.46
10,0,3,11.87,73.31
11,1,4,43.75,98.17
12,1,4,25.72,67.66
13,1,4,22.83,88.83
14,1,4,80.88,91.48
15,1,4,57.38,63.76
16,4,7,42.17,98.55
17,1,4,51.35,89.18
18,1,4,16.25,81.27
19,1,4,89,7.78
20,1,4,77.54,33.9
21,1,4,8.18,30.84
22,1,4,56.64,34.85
23,1,4,47.02,46.31
24,1,4,96.17,66.86
25,1,4,9.57,49.86
26,1,4,51.93,83.88
27,1,4,88.16,50.39
28,1,4,55.85,65.59
29,1,4,55.51,77.48
30,1,4,100.82,25.25
31,1,4,18.6,79.85
32,1,4,14.87,97.57
33,1,4,59.09,20.73
34,1,4,70.22,58.37
35,1,4,84.29,47.23
36,1,4,34.2,70.23
37,1,4,44.84,95.67
38,1,4,12.49,79.69
39,1,4,43.19,65.58
40,1,4,100.77,80.47
41,1,4,45.59,34.28
42,1,4,27.08,24.04
43,1,4,0.35,37.73
44,4,7,57.4,66.07
45,7,10,43.18,98.23
46,1,4,84.19,58.07
47,1,4,40.87,90.36
48,1,4,90.36,68.31
49,1,4,49.95,27.56
50,1,4,0.3,10.26
51,1,4,68.99,13.83
52,1,4,86.82,11.26
53,1,4,7.43,87.4
54,1,4,39.19,9.96
55,1,4,55.83,54.99
56,1,4,76.48,21.53
57,1,4,38.57,2.59
58,1,4,93.19,86.19
59,1,4,53.32,3.43
60,1,4,69.88,5.18
61,1,4,91.47,3.52
62,1,4,15.55,60.81
63,1,4,29.58,81.97
64,1,4,57.78,60.41
65,1,4,35.96,43.35
66,1,4,39.94,15.93
67,1,4,58.78,94.07
68,1,4,82.78,60.23
69,1,4,0.81,24.59
70,1,4,16.23,39.39
71,1,4,70.22,79.74
72,1,4,86.25,60.7
73,1,4,58.88,1.36
74,4,7,57.66,37.02
75,1,4,86.1,54.23
76,1,4,4.68,74.75
77,1,4,91.28,93.59
78,1,4,82.48,98.9
79,1,4,95.96,87.46
80,1,4,74.59,22.81
81,1,4,82.56,71.93
82,1,4,72.86,13.3
83,1,4,32.04,65.93
84,1,4,18.78,45.42
85,4,7,9.38,48.34
86,1,4,27.97,58.21
87,1,4,61.54,60.31
88,1,4,32.34,46.83
89,1,4,68.05,50.06
90,1,4,30.61,39.46
91,1,4,10,38.85
92,1,4,89.81,38.24
93,1,4,92.13,75.48
94,1,4,18.48,55.4
95,1,4,25.18,17.92
96,1,4,69.36,23.75
97,1,4,67.02,57.95
98,1,4,43.22,24.36
99,1,4,88.66,20.57
